name,id,description,url,sequence,lastImportData
Category,0,category page,/collections/,2,3/16/2023 10:23:12
Category,0,category page,/lawson-fenning-collection/,3,3/16/2023 10:23:12
Category,0,category page,/modern-home-ideas/,5,3/16/2023 10:23:12
Category,0,category page,/responsible-design/,4,3/16/2023 10:23:12
Category,0,category page,/sectional-sofas/salon-leather-sectional-collection/,1,3/16/2023 10:23:12
Landing,0,landing,/about-us,2,3/16/2023 10:23:12
Landing,0,landing,/accessibility,6,3/16/2023 10:23:12
Landing,0,landing,/black-friday,4,3/16/2023 10:23:12
Landing,0,landing,/email-terms-conditions,5,3/16/2023 10:23:12
Landing,0,landing,/gq/1,3,3/16/2023 10:23:12
Landing,0,landing,/site-index,1,3/16/2023 10:23:12
mPdpDetail,13324,family,/essex-servers/f13324,2,3/16/2023 10:23:12
mPdpDetail,15357,family,/allis-black-taper-candle-holders/f15357,3,3/16/2023 10:23:12
mPdpDetail,15745,family,/gianna-dishes-with-lid/f15745,4,3/16/2023 10:23:12
mPdpDetail,15880,family,/franklin-drinkware/f15880,5,3/16/2023 10:23:12
mPdpDetail,2736,family,/cuatro-platters/f2736,1,3/16/2023 10:23:12
mPdpGrouper,11704,family grouper,/contact-white-dinnerware-set/f11704,4,3/16/2023 10:23:12
mPdpGrouper,12002,family grouper,/watson-drinkware/f12002,5,3/16/2023 10:23:12
mPdpGrouper,1249,family grouper,/marta-drinkware/f1249,1,3/16/2023 10:23:12
mPdpGrouper,7923,family grouper,/frank-white-dinnerware-set/f7923,2,3/16/2023 10:23:12
mPdpGrouper,9712,family grouper,/marble-bath-accessories/f9712,3,3/16/2023 10:23:12
mPdpSor,17557,family sor,/savile-tufted-chair/f17557,3,3/16/2023 10:23:12
mPdpSor,17561,family sor,/savile-tufted-sofa/f17561,4,3/16/2023 10:23:12
mPdpSor,17570,family sor,/lenyx-92-sofa/f17570,5,3/16/2023 10:23:12
mPdpSor,8855,family sor,/facade-bed/f8855,1,3/16/2023 10:23:12
mPdpSor,9127,family sor,/facade-bed/f9127,2,3/16/2023 10:23:12
mPdpSuperSor,24058,family super sor,/gwyneth-chair/f24058,1,3/16/2023 10:23:12
mPdpSuperSor,24479,family super sor,/roma-2-piece-sectional-sofa/f24479,2,3/16/2023 10:23:12
mPdpSuperSor,24480,family super sor,/roma-3-piece-sectional-sofa/f24480,3,3/16/2023 10:23:12
mPdpSuperSor,24950,family super sor,/fitz-swivel-chair/f24950,4,3/16/2023 10:23:12
mPdpSuperSor,24984,family super sor,/strato-4-piece-leather-sectional-sofa/f24984,5,3/16/2023 10:23:12
PdpDetail-EA-Ship,230009,Glass Milk Carton Creamer,/glass-milk-carton-creamer/s230009,5,
PdpDetail-EA-Ship,263389,Cuatro Small Platter,/cuatro-small-platter/s263389,3,
PdpDetail-EA-Ship,264121,Cuatro Medium Platter,/cuatro-medium-platter/s264121,4,
PdpDetail-EA-Ship,299630,Pinet Teak Outdoor Towel Rack,/pinet-teak-outdoor-towel-rack/s299630,2,
PdpDetail-EA-Ship,324382,Ferrat Teak Outdoor Planter Large,/ferrat-teak-outdoor-planter-large/s324382,1,
PdpDetail-Stock-Delivery,324394,Ferrat Teak Outdoor Planter Extra-Large,/ferrat-teak-outdoor-planter-extra-large/s324394,1,
PdpDetail-Stock-Delivery,337847,La Paloma Marble Outdoor Side Table,/la-paloma-marble-outdoor-side-table/s337847,4,
PdpDetail-Stock-Delivery,337855,La Paloma Marble Outdoor Drink Table,/la-paloma-marble-outdoor-drink-table/s337855,5,
PdpDetail-Stock-Delivery,338151,Pinet Teak Outdoor Coffee Table,/pinet-teak-outdoor-coffee-table/s338151,2,
PdpDetail-Stock-Delivery,338166,Pinet Teak Outdoor Side Table,/pinet-teak-outdoor-side-table/s338166,3,
PdpDetail-Stock-Delivery-BOPS,105510,Peekaboo Acrylic Console Table 56'',/peekaboo-acrylic-console-table-56/s105510,4,
PdpDetail-Stock-Delivery-BOPS,112257,Luna Capiz Pendant Light,/luna-capiz-pendant-light/s112257,3,
PdpDetail-Stock-Delivery-BOPS,283647,Potted Faux Cardón Cactus 5',/potted-60-faux-cardon-cactus/s283647,5,
PdpDetail-Stock-Delivery-BOPS,329354,Riva Alabaster Outdoor Pendant Light,/riva-alabaster-outdoor-pendant-light/s329354,1,
PdpDetail-Stock-Delivery-BOPS,359571,Danielle Red Travertine Table Lamp,/danielle-red-travertine-table-lamp/s359571,2,
PdpDetail-Stock-Delivery-BOPS-Swatch,519993,Lupine Teak Outdoor Dining Bench with Sunbrella ® Cushion,/lupine-teak-outdoor-dining-bench-with-sunbrella-cushion/s519993,1,
PdpDetail-Stock-Delivery-Swatch,222997,Lodi Woven Outdoor Chaise Lounge,/lodi-woven-outdoor-chaise-lounge/s222997,5,
PdpDetail-Stock-Delivery-Swatch,267345,Breton Black Metal Outdoor Sofa,/breton-black-metal-outdoor-sofa/s267345,3,
PdpDetail-Stock-Delivery-Swatch,267471,Breton Black Metal Outdoor Chair,/breton-black-metal-outdoor-chair/s267471,4,
PdpDetail-Stock-Delivery-Swatch,343278,Nino Ivory Rattan Outdoor Chaise Lounge with Ivory Boucle Sunbrella® Cushions,/nino-ivory-rattan-outdoor-chaise-lounge-with-ivory-boucle-sunbrella-cushions/s343278,1,
PdpDetail-Stock-Delivery-Swatch,412024,Pod Hanging Outdoor Chair Cushion,/pod-hanging-outdoor-chair-cushion/s412024,2,
PdpDetail-Stock-Ship,310906,La Paloma Marble Vase,/la-paloma-marble-vase/s310906,1,
PdpDetail-Stock-Ship,312155,Pinch Marble Salt Cellar,/pinch-marble-salt-cellar/s312155,5,
PdpDetail-Stock-Ship,328684,Giacomo Teak Decorative Tray,/giacomo-teak-decorative-tray/s328684,2,
PdpDetail-Stock-Ship,335091,Emmette New Zealand Wool Grey Hand-Knotted Soumak Area Rug Swatch,/emmette-new-zealand-wool-grey-hand-knotted-soumak-area-rug-swatch/s335091,3,
PdpDetail-Stock-Ship,335091,Emmette New Zealand Wool Grey Hand-Knotted Soumak Area Rug Swatch,/emmette-new-zealand-wool-grey-hand-knotted-soumak-area-rug-swatch/s335091,4,
PdpDetail-Stock-Ship-BOPS,263520,Tamra Natural Rattan Storage Basket,/tamra-natural-rattan-storage-basket/s263520,3,
PdpDetail-Stock-Ship-BOPS,273891,Parc Organic Cotton Green Beach Towel,/parc-organic-cotton-green-beach-towel/s273891,4,
PdpDetail-Stock-Ship-BOPS,273918,Gato Organic Cotton Tiger Print Beach Towel,/gato-organic-cotton-tiger-print-beach-towel/s273918,5,
PdpDetail-Stock-Ship-BOPS,324323,Ferrat Teak Outdoor Planter Small,/ferrat-teak-outdoor-planter-small/s324323,1,
