name,id,description,url,sequence,lastImportData
Category,0,category page,/crate-kitchen/appetizer-recipes/,1,3/16/2023 10:23:12
Category,0,category page,/crate-kitchen/dessert-recipes/,2,3/16/2023 10:23:12
Category,0,category page,/crate-kitchen/drink-recipes/,3,3/16/2023 10:23:12
Category,0,category page,/crate-kitchen/entree-recipes/,4,3/16/2023 10:23:12
Category,0,category page,/wedding-gift-registry/wedding-guides/,1,3/16/2023 10:23:12
CategoryCollection,0,product listing collection,/dining-and-entertaining/dinnerware-collections/,1,3/16/2023 10:23:12
CategoryCollection,0,product listing collection,/dining-and-entertaining/drinkware-collections/,2,3/16/2023 10:23:12
CategoryCollection,0,product listing collection,/dining-and-entertaining/serveware-collections/,1,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/dining-room/,1,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/living-room/,2,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/outdoor/,3,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/workspace/,4,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/clearance-kids/,1,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/favorite-kids-gifts/,1,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/kids-gifts-by-age/,1,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/kids-gifts-by-recipient/,2,3/16/2023 10:23:12
Default PDP-MTO-DeliveryTerms,123177,Cambria Boucle 3-Piece Corner Sectional Sofa,/cambria-boucle-3-piece-corner-sectional-sofa/s123177,1,
Default PDP-REF-DeliveryTerms,122104,Pacific 103" Deep-Seat Grande Sofa with Wood Legs,/pacific-103-deep-seat-grande-sofa-with-wood-legs/s122104,5,
Default PDP-REF-DeliveryTerms,171678,Jesper 84" Mid-Century Sofa,/jesper-84-mid-century-sofa/s171678,3,
Default PDP-REF-DeliveryTerms,171901,Jesper Small Space Mid-Century Sofa,/jesper-small-space-mid-century-sofa/s171901,2,
Default PDP-REF-DeliveryTerms,181614,Jesper Mid-Century Loveseat,/jesper-mid-century-loveseat/s181614,1,
Default PDP-REF-DeliveryTerms,376679,Gather Deep 3-Piece U-Shaped Sectional Sofa,/gather-deep-3-piece-u-shaped-sectional-sofa/s376679,4,
Landing,0,landing,/couples-resorts,1,3/16/2023 10:23:12
Landing,0,landing,/design-services-form,1,3/16/2023 10:23:12
Landing,0,landing,/design-studio-debug-questionnaire,1,3/16/2023 10:23:12
Landing,0,landing,/on-the-move,1,3/16/2023 10:23:12
Landing,0,landing,/site-index,1,3/16/2023 10:23:12
Landing,0,landing,/Sweeps,1,3/16/2023 10:23:12
mPdpDetail,11097,family,/bodum-pavina-double-wall-glass-tumblers/f11097,1,3/16/2023 10:23:12
mPdpDetail,3079,family,/heritage-hill-glass-jars-with-lids/f3079,1,3/16/2023 10:23:12
mPdpDetail,3862,family,/oxo-stainless-and-nylon-tongs/f3862,1,3/16/2023 10:23:12
mPdpDetail,6608,family,/dylan-glasses/f6608,1,3/16/2023 10:23:12
mPdpDetail,9592,family,/callaway-glasses/f9592,1,3/16/2023 10:23:12
mPdpDetailKids,1000076,family kids,/kids-canyon-natural-wide-dresser-by-leanne-ford/f1000076,1,3/16/2023 10:23:12
mPdpDetailKids,81116,family kids,/joya-nursery-rocking-chair-and-ottoman/f81116,1,3/16/2023 10:23:12
mPdpDetailKids,82128,family kids,/roxy-marj-woodland-animal-crib-baby-bedding-set/f82128,1,3/16/2023 10:23:12
mPdpDetailKids,88829,family kids,/white-campaign-baby-crib/f88829,1,3/16/2023 10:23:12
mPdpDetailKids,94469,family kids,/pehr-pom-pom-drum-bins/f94469,1,3/16/2023 10:23:12
mPdpGrouper,1691,family grouper,/impressions-glasses/f1691,1,3/16/2023 10:23:12
mPdpGrouper,6390,family grouper,/strauss-glasses/f6390,1,3/16/2023 10:23:12
mPdpGrouper,6633,family grouper,/edge-wine-glasses/f6633,1,3/16/2023 10:23:12
mPdpGrouper,8512,family grouper,/basque-honey-dining-tables/f8512,1,3/16/2023 10:23:12
mPdpGrouper,9086,family grouper,/aspen-stemless-wine-glasses/f9086,1,3/16/2023 10:23:12
mPdpGrouperKids,76841,family grouper kids,/kids-cargo-dark-grey-desk-and-hutch/f76841,1,3/16/2023 10:23:12
mPdpGrouperKids,76842,family grouper kids,/kids-cargo-white-desk-and-hutch/f76842,2,3/16/2023 10:23:12
mPdpGrouperKids,78344,family grouper kids,/baby-registry-faves-under-100/f78344,1,3/16/2023 10:23:12
mPdpGrouperKids,78353,family grouper kids,/favorite-baby-toys/f78353,1,3/16/2023 10:23:12
mPdpGrouperKids,78895,family grouper kids,/district-2-cube-warm-white-stackable-bookcase/f78895,1,3/16/2023 10:23:12
mPdpSor,60880,family sor,/colette-upholstered-bed-52.5/f60880,1,3/16/2023 10:23:12
mPdpSor,66432,family sor,/tate-upholstered-bed-45/f66432,1,3/16/2023 10:23:12
mPdpSor,69988,family sor,/miles-upholstered-stools/f69988,1,3/16/2023 10:23:12
mPdpSor,72748,family sor,/colette-upholstered-headboard-60/f72748,3,3/16/2023 10:23:12
mPdpSor,72923,family sor,/colette-upholstered-headboard-52.5/f72923,2,3/16/2023 10:23:12
mPdpSorKids,76906,family sor kids,/milo-nursery-glider-chair-and-ottoman/f76906,1,3/16/2023 10:23:12
