name,id,description,url,sequence,lastImportData
Category,0,category page,/crate-kitchen/appetizer-recipes/,4,3/16/2023 10:23:12
Category,0,category page,/crate-kitchen/dessert-recipes/,3,3/16/2023 10:23:12
Category,0,category page,/crate-kitchen/drink-recipes/,2,3/16/2023 10:23:12
Category,0,category page,/crate-kitchen/entree-recipes/,5,3/16/2023 10:23:12
Category,0,category page,/wedding-gift-registry/wedding-guides/,1,3/16/2023 10:23:12
CategoryCollection,0,product listing collection,/dining-and-entertaining/dinnerware-collections/,3,3/16/2023 10:23:12
CategoryCollection,0,product listing collection,/dining-and-entertaining/drinkware-collections/,2,3/16/2023 10:23:12
CategoryCollection,0,product listing collection,/dining-and-entertaining/serveware-collections/,1,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/dining-room/,3,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/living-room/,4,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/outdoor/,2,3/16/2023 10:23:12
CategoryCollectionFurniture,0,product listing collection furniture,/shop-by-room/workspace/,1,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/clearance-kids/,5,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/favorite-kids-gifts/,4,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/kids-gifts-by-age/,2,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/kids-gifts-by-price/,3,3/16/2023 10:23:12
CategoryKids,0,category page kids,/kids/kids-gifts-by-recipient/,1,3/16/2023 10:23:12
Default PDP-MTO-DeliveryTerms,123177,Cambria Boucle 3-Piece Corner Sectional Sofa,/cambria-boucle-3-piece-corner-sectional-sofa/s123177,1,
Default PDP-REF-DeliveryTerms,171678,Jesper 84" Mid-Century Sofa,/jesper-84-mid-century-sofa/s171678,1,
Default PDP-REF-DeliveryTerms,171901,Jesper Small Space Mid-Century Sofa,/jesper-small-space-mid-century-sofa/s171901,2,
